patientId,sampleId,hmfSampleId,deleted,sampleHash
146,1,HMF000146A,false,9754ea836c069c8e9b05b702cd7e6243b572ce7bf5bbc067c624040ce3cc587d
147,1,HMF000147A,false,66abb46bf0ef11c69ed6bffd93af9790e8d584e27faacbc99d45ad481c911c04
148,1,HMF000148A,false,e903c47cf4671b5cf311fc72218955c775e4fe74a720fad83487652f527b9199
149,1,HMF000149A,false,c7832ba4fddbaebd9c23b67c95908953797df1a5c339b915d309742f3194db6c
150,1,HMF000150A,false,13ed786c92f8e2a74ffa82cd4d384230d75cda7042ebee31de070667c805dd49
151,1,HMF000151A,false,6da37568b6b2d31477009da3e19228342540b4dd7b63d0b53c876351b90579c4
152,1,HMF000152A,false,b419d5c8c85bd97f8b784ee174bf70ff63df92a334c0b3d46f8b7f956af082d5
152,2,HMF000152B,false,c43d533b07cb37c1bd858802ba9021c83ab9283075cd3db8949d5c18b77ac081
153,1,HMF000153A,false,1eb828b3da5fb5461a97c3dcd5b5cd7b2bf74768c9906915d4a9a434bc7a80b0
154,1,HMF000154A,false,5614f9f302d1cf6ce92bd8b4c2f905301be86cebb7598f0eb3e66cba984f8887
154,2,HMF000154B,false,ec4217938d64df9e7031ed2edb8c84b265e3fa236ddeff378e12114adc16c5dd
155,1,HMF000155A,false,65d12aabc3ab7f6754b0fc16d8da3ff93120ad139aa9a9513170bd7eef521332
156,1,HMF000156A,false,a6ea1f6b6bbb9f1af40be6115dc731b8c934175e578c5b6b2cd1fdff95f784de
157,1,HMF000157A,false,e012d3ad83956f4f7d51890b3dbcae7847a643e8a71b0d3e13c98c56fdca2e40
158,1,HMF000158A,false,8dfcec98693c090eab5d3c9c3576b87e931d3ce1b090f04cdf40906093fb663e
158,2,HMF000158B,false,2a769ff949c252e1d096953a267efeca7b50e297d1b55fcb2a3a84bb91137c78
158,3,HMF000158C,false,8c6f5b2f33b839c196af676c794de9d7da7e8e3122c0ebd4b2887797507e5d24
159,1,HMF000159A,false,83f590bbe993c3f1c8c01e23090ae2beeeb02afefd618c2e8e646eb9252deffd
160,1,HMF000160A,false,12580164b1553b13a1fad40660072876227b4ddc84bea2df44da2dd460f40f90
161,1,HMF000161A,false,c72e74d6b9f848cfe70c54d7016a32dff6ed354ffe0b87b7bb1e5ee0f28b9473
162,1,HMF000162A,false,dea07afb2810e876e609617b410e2e6de51cf10def6da064f79cfac9bdfca35e
162,2,HMF000162B,false,46831c562b71f19181888e819a15d2da7047d0a7059c7af7d13c415a6ccc41f7
163,1,HMF000163A,false,93baccac6bf033d79edfed8538f24ca31275dbe46d9057129a2b1b919bd0c7ed
164,1,HMF000164A,false,cfa17a5d5c12bb917fbd66a1cb174e824c5278aa03d8b348924b3b8a9d9a83ea
165,1,HMF000165A,false,b1b289c4ba6a535ac3e36c2ccec822dcf81d167a56e9e001a452103a2f251235
166,1,HMF000166A,false,57d02849a3806388d9f912be67498d62e47a0de290f32e71e37278a6a68fed26
167,1,HMF000167A,false,bad5a4eb2f14f01c2d27ca63c9d5e14d5b2acfd9c9f6b62e1ee1690192cea487
168,1,HMF000168A,false,8d180033197bd44e4102d627b7f51a2be7b482b46835402fdc9d61862bb416d6
168,2,HMF000168B,false,63f6fbc791344b03fe5052212f1ac420596a2fe29a8a8b1258ffc8d8e4b2a342
169,1,HMF000169A,false,d81e7c98b3698b4414fbc570185a63842b92de6c8d4288e16b4da254f81b4027
170,1,HMF000170A,false,83752717e90391176d973cefe10b5d3768340ee7d0a6eb644498a350a6c8406f
171,1,HMF000171A,false,8ee52d81fed0160fce7e7fc5c238aaec3caae380e612368370983e07d0777d40
172,1,HMF000172A,false,1fe9cfb94701f85e16b17c649d70a224724808184da327d708c6c3869ef97213
173,1,HMF000173A,false,959737089e5441d6b0180b8abb5f538567f4a7920a8061dd3a79bdb7c0e4866a
174,1,HMF000174A,false,6341d611c2917336cd74df4478c8b955ce95d79b83b960dec56114e98bb0e959
175,1,HMF000175A,false,68c419bdfc3aec20f61f1a86ab92fefb359b8bfbc6838ccee62a6d9acedc70cf
176,1,HMF000176A,false,b5a993661c5d3463b77ece4f0b9102f3f275ce78591eb5f2f659057e67f26cdf
177,1,HMF000177A,false,a18981aab1aa095f642f3d7cc4b625b50dd89f4765324df08c7171d6f3e3a3ec
178,1,HMF000178A,false,dcc7ad74a3d15abdc58ce89270c954ff94318f152c0edce32f7e6717e7ea8702
179,1,HMF000179A,false,5acd70f9efb7076c554e97bca5c7a837bb53d1da17f331af16550ef4d82d8475
179,2,HMF000179B,false,fb53e6efee4d3b795fc8fc7b63f57da68115f0e479000649967a12d1d28c3814
180,1,HMF000180A,false,e7abd755d0c5d5c52e7b269a7a047705aba8f58efc144735c27cf36944643475
181,1,HMF000181A,false,50e0527929a0e9506e62ed21de7c81407f820c1b1b51be214db6041d48255762
182,1,HMF000182A,false,3bc08a27fc04136ce54fc6d2b9fedffee886707c290224b5daa72ddef601c1b9
183,1,HMF000183A,false,9672025df6e14e9e9ef3d3aaf165ad486cb51cedee23e43ad35aba5ad27b4c8f
184,1,HMF000184A,false,7307c617f3dd86778d717518191be2646032b20f79c5bb5b735a45ba5b60d95c
185,1,HMF000185A,false,6ca7fcd6f15dab6a7936637e74dead75d7fd7b76423ef1fabcf9eb004018151e
187,1,HMF000187A,false,0660ebebd9ceae2f3f789568bc4bec7b5c749be55b06092d8ec66a9240720732
188,1,HMF000188A,false,a88e90a4e00ce14152afd3d85cf3c604bbfdbf103b8dbe141db9b572761ebd25
189,1,HMF000189A,false,1029479676e9860b14f6d4bda78a279fd6b5231da7b35fe8225d59b1b6eef1b7
190,1,HMF000190A,false,b975595d7cdf254e49fd030b530eec0f1bd28bc7e1e48143fe43728c5f69af8d
191,1,HMF000191A,false,22e9e7f18750bf19d78bee7242a22202f663c3081268a8ea62765620eb8b4589
191,2,HMF000191B,false,0596ac1e8d814dc03fa666489fb93e4178d8acb4c94127ac8da2d5a274817008
192,1,HMF000192A,false,13c012487fddca97f9254595449781dd82d2ec77bd628786acca48b59aae6f92
193,1,HMF000193A,false,61a5741d9f5e1c84d4d1a0cd313397fd231413a5da483305db510167fe02a8d6
194,1,HMF000194A,false,70071da42e1bbc1282669d0a8fcf007ee4fd14d144ff55c41d115841430c1604
195,1,HMF000195A,false,0c67277a05b2500f1d8567ce9586c5e0d8ec157a5c8658a51c3551245c4656a6
195,2,HMF000195B,false,ee1c0ea21e2fa77935497572ce38e6d13a8b40e7e2c742a1a4a4e3f453707f6c
196,1,HMF000196A,false,04f10e73acd9a114bc823689539d5c39e2aef8a915034e36e30e84281df38c09
196,2,HMF000196B,false,a04b49c2d64f1b6f597f2559674511e8113f2c4a25c8566866a726d692b4f7b6
197,1,HMF000197A,false,ec9f4e2cd951269e790b1cc6db6c16035c75ee05609ad3ffe44f39b8a48da8a8
198,1,HMF000198A,false,38561e508fbd7db89963c84ae2b02ea0e9a1e5a8469985414751da83f539f972
199,1,HMF000199A,false,1f35376b7347b5dfb9f3ab8e2362702ffcf3f35dd1c93cac967816de49b5e988
200,1,HMF000200A,false,c3be866df2063692f382194fe6b07a1b7b2e1ce42f72db9b290e0f5bdfc61583
200,2,HMF000200B,false,6203c78ded3fe90506ca7d03a763ad9c49c302b731e50fa4b3c8a662a06576d7
201,1,HMF000201A,false,38a06e0e2e2a393f8eafa88ac628a036c408bf368a141e873041752b9c6ae74b
202,1,HMF000202A,false,6d1f0171bef1693857eb67df5ad73b3273d37b98bc70c5aca46bbe2d5f21a238
203,1,HMF000203A,false,3073c85fcf06f5775a3f6dc4ee4aca268c3b6aaa991d944f43a0bcdc319f4b82
203,2,HMF000203B,false,ac91ffd89f35056e52e0ee0c138381bb50d32563277b5cad66c635ad648ef625
204,1,HMF000204A,false,5b477585e14a1a6fcd52e2c48c6d6ffe144c6f9fcb2fb12587567c72c266a5a0
205,1,HMF000205A,false,416449c27cf40382d12e7f40a69f65def5c2df8ed0db622915ae5f5ac57db6d0
205,2,HMF000205B,false,0e1d8da63003a9cccb03c9cd52dd703bb8f961aac35c1904cf2145a3ca8848c4
206,1,HMF000206A,false,e67bda1c153a15c1d51d2258a50f99f2edab4cd7dee19dd07cb1a2ba19ef1e2f
206,2,HMF000206B,false,09df2f761926812236b90e90ac634a82844c64ab7619cf293a7b40256cadbd4d
207,1,HMF000207A,false,96d5bdd957b02686afff67f678de42d1554cf1113c42c4267e0aa7a9de25cc7b
208,1,HMF000208A,false,3a65d79a96160baf9aacfec9c107f4e2ab49331560d2d0f1f5281bce7126864f
209,1,HMF000209A,false,3f367e1d0704f7e8e9c8d9f7073af5225db55a800ff0ac3d456232cf310e8ea9
210,1,HMF000210A,false,25640a8430c8c342773a83ec741345e415168739fb9d6357ff959e24c5922990
211,1,HMF000211A,false,f2586ac91b02d16e3879040085cf638b512c869a62c874497c420d5adf8ceb2e
212,1,HMF000212A,false,3f37c962fa3cc11ce5edbabc412c22dc9b0b1454004bef14a5079b1e86adff71
213,1,HMF000213A,false,25af4d3346e8af7f7d51024f4ecbfd94c7ddbda0f8ba41b2116d662d98a41436
213,2,HMF000213B,false,29bd7f36c731b2faec98d42284405c542ae3dc40ad25d45393904b700fe97cfa
