gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
TM4SF20	1.1567736644689e-05	1.02462341387588e-07	0	0	0	8.57493211719301e-09	0	0
TM4SF4	0.00134809898730412	6.9139438076575e-08	0.000119389173236856	4.06631925441998e-09	0.000119389173236856	4.06631925441998e-09	0.00174959214433584	6.35559483637521e-08
TM4SF5	0	7.71743890547371e-08	0	0	0	0	0	2.76956831569534e-08
TM6SF1	0	1.28623981757895e-07	0	8.57493211719301e-09	0	0	0	8.30870494708601e-08
TM6SF2	0.00183951644386984	1.27755937788466e-07	0	8.57493211719301e-09	0	1.7149864234386e-08	9.57990689832333e-05	7.14022656785357e-08
TM7SF2	0	1.88648506578246e-07	0	0	7.1741119200695e-05	2.30155646511778e-08	0	5.53913663139068e-08
TM7SF3	0.000863892011122644	1.64599419885399e-07	8.334367701055e-05	2.2577405645932e-08	0	0	0.000578998799306335	4.01612134657215e-08
TM9SF1	0	2.40098099281404e-07	3.22742481800633e-05	1.5931059492416e-08	0	0	6.96662456880592e-05	1.29981099191529e-07
TM9SF2	0	2.74397827750176e-07	9.30257892473128e-05	2.22117703493136e-08	3.10085964157709e-05	7.40392344977121e-09	0.000362672488017857	1.21938286893748e-07
TM9SF3	0.00129077258008093	1.39903769516351e-07	0.000975267727022841	1.46195812415729e-08	9.80229389803657e-05	4.87319374719097e-09	0.000821975373324074	1.49003341924002e-07
TM9SF4	0.000825378009881435	2.26078387488836e-07	0.000404751216518928	1.04397709883502e-08	0.000539668288691904	1.39196946511336e-08	0	8.30870494708601e-08
TMA16	0	6.85994569375441e-08	0	0	0	0	0.000876752325391726	3.15393664771683e-08
TMA7	0.000434530242790127	1.78901279263448e-08	0	0	0.000389866270925531	2.42695397208787e-09	0	0
TMBIM1	0	6.85994569375441e-08	0	0	0	8.57493211719301e-09	0.000127655935203428	3.98209435687744e-08
TMBIM4	0	5.14495927031581e-08	0	8.57493211719301e-09	0	0	0	1.38478415784767e-07
TMBIM6	0	1.02899185406316e-07	0	0	0	1.7149864234386e-08	0	2.76956831569534e-08
TMC1	0.000606068890908007	5.34483001388488e-07	0	2.5724796351579e-08	0	1.7149864234386e-08	2.40035126102268e-05	1.35550664418457e-07
