gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
AC003043.1	2.685e-04	7.009e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC003101.1	3.262e-04	7.343e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC003102.1	0.000e+00	0.000e+00	1.922e-04	1.318e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC004017.1	0.000e+00	1.715e-08	1.431e-04	3.170e-09	0.000e+00	0.000e+00	2.570e-04	2.404e-08
AC004076.9	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	8.575e-09	0.000e+00	0.000e+00
REXO5	0.000e+00	2.572e-07	0.000e+00	8.575e-09	0.000e+00	1.715e-08	4.509e-04	1.389e-07
AC004466.1	0.000e+00	3.430e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC004528.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC004817.1	1.291e-03	1.142e-07	7.174e-05	5.866e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC004824.2	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC004899.1	3.863e-03	1.799e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.652e-04	1.084e-08
LINC01521	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC005008.2	5.009e-04	5.826e-08	2.779e-05	7.526e-09	0.000e+00	0.000e+00	9.206e-05	1.647e-08
AC005082.1	0.000e+00	8.575e-09	0.000e+00	0.000e+00	3.328e-04	4.581e-09	3.642e-04	1.097e-08
AC005358.1	5.003e-03	4.627e-07	0.000e+00	8.575e-09	0.000e+00	8.575e-09	3.181e-04	1.551e-07
AC005477.1	0.000e+00	1.115e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	2.982e-04	1.901e-08
AC005481.5	0.000e+00	1.200e-07	2.075e-04	9.314e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC005493.1	2.871e-04	2.346e-08	0.000e+00	0.000e+00	6.536e-04	9.616e-09	2.103e-04	2.046e-09
AC005544.1	0.000e+00	1.200e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC005549.3	1.941e-04	9.821e-09	0.000e+00	0.000e+00	1.813e-04	1.728e-09	0.000e+00	0.000e+00
AC005606.1	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC005609.1	0.000e+00	1.801e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC005841.1	1.913e-03	9.067e-08	0.000e+00	8.575e-09	0.000e+00	0.000e+00	9.393e-04	1.070e-07
AC006014.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.968e-04	1.143e-09	0.000e+00	0.000e+00
EDDM13	1.129e-04	3.004e-08	0.000e+00	0.000e+00	7.362e-05	5.795e-09	1.103e-04	1.424e-08
AC006126.3	8.677e-04	2.726e-08	0.000e+00	0.000e+00	1.424e-04	3.198e-09	0.000e+00	0.000e+00
AC006372.1	1.177e-03	1.528e-07	1.702e-04	1.072e-08	0.000e+00	0.000e+00	2.671e-05	2.444e-08
AC006435.1	0.000e+00	4.287e-08	3.228e-04	4.958e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC006449.1	0.000e+00	4.287e-08	1.597e-04	2.543e-09	0.000e+00	0.000e+00	7.089e-04	2.432e-08
AC006455.1	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC006486.1	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.735e-05	1.948e-08
AC006486.9	9.901e-04	4.836e-08	1.358e-04	3.448e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
CCDC188	1.543e-03	1.218e-07	0.000e+00	8.575e-09	1.151e-04	1.280e-08	0.000e+00	5.539e-08
LINC01664	0.000e+00	2.572e-08	7.373e-05	5.791e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC006967.1	0.000e+00	1.029e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	2.954e-04	1.936e-08
AC007040.11	0.000e+00	4.287e-08	0.000e+00	8.575e-09	0.000e+00	0.000e+00	1.568e-04	8.569e-09
AC007204.1	5.751e-04	3.831e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007216.2	5.324e-04	1.420e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007375.1	3.781e-04	6.290e-08	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007377.1	4.579e-04	8.434e-09	0.000e+00	0.000e+00	1.814e-04	1.726e-09	0.000e+00	0.000e+00
AC007382.1	0.000e+00	2.572e-08	1.373e-04	3.388e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007401.2	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007461.1	0.000e+00	2.572e-08	1.886e-04	1.453e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
LINC01921	0.000e+00	3.430e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007773.3	2.020e-04	1.810e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007919.2	0.000e+00	5.145e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007952.5	2.317e-04	6.842e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC007956.1	0.000e+00	5.145e-08	1.810e-05	7.891e-09	0.000e+00	0.000e+00	9.119e-05	1.657e-08
AC008060.7	3.699e-04	7.178e-08	3.318e-04	4.620e-09	0.000e+00	0.000e+00	1.087e-04	1.444e-08
FAM230E	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC008132.13	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC008267.1	7.306e-04	1.528e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
MIR4280HG	1.614e-03	9.340e-08	4.279e-05	1.553e-08	0.000e+00	0.000e+00	7.556e-05	1.848e-08
AC008443.1	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.203e-05	1.891e-08
AC008498.1	8.546e-04	2.775e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC008686.1	3.927e-04	2.804e-08	3.133e-04	5.318e-09	0.000e+00	0.000e+00	5.017e-04	2.189e-08
AC008914.1	1.226e-04	3.943e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC008948.1	0.000e+00	2.572e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.569e-04	1.186e-08
AC008964.1	5.747e-04	2.975e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC009041.2	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.171e-04	1.211e-09
AC009060.1	4.044e-04	1.903e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC009065.1	0.000e+00	1.115e-07	2.340e-04	8.313e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC009365.3	3.463e-03	6.644e-08	2.928e-04	6.091e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC009403.2	2.338e-05	2.484e-08	1.293e-04	3.693e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC009802.1	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
LILRB1-AS1	1.586e-03	3.443e-08	0.000e+00	0.000e+00	1.208e-04	4.013e-09	1.689e-04	7.095e-09
AC010327.2	8.576e-04	1.563e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.997e-04	7.423e-08
AC010336.1	8.490e-04	9.656e-08	1.036e-04	4.663e-09	0.000e+00	0.000e+00	1.524e-04	3.681e-08
AC010368.2	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC010441.1	0.000e+00	5.145e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC010536.1	9.969e-04	7.383e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC010760.1	3.602e-04	3.548e-09	0.000e+00	0.000e+00	6.359e-04	1.712e-09	0.000e+00	0.000e+00
AC010877.1	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC011294.3	1.387e-03	5.052e-08	5.852e-05	6.365e-09	0.000e+00	0.000e+00	1.029e-04	1.515e-08
AC011298.1	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC011308.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.042e-04	8.647e-10	0.000e+00	0.000e+00
LINC01848	0.000e+00	1.715e-08	1.953e-04	1.200e-09	1.953e-04	1.200e-09	0.000e+00	0.000e+00
AC011475.1	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.062e-04	5.842e-09
AC011484.1	0.000e+00	1.286e-07	2.540e-05	7.616e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC011500.1	0.000e+00	4.287e-08	9.280e-05	5.070e-09	0.000e+00	8.575e-09	5.229e-05	2.132e-08
AC011530.4	5.734e-04	3.837e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.424e-04	4.792e-08
AC011551.3	0.000e+00	5.145e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.732e-05	1.583e-08
AC011755.1	0.000e+00	8.575e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.894e-05	1.929e-08
AC011897.1	0.000e+00	5.145e-08	0.000e+00	0.000e+00	0.000e+00	8.575e-09	6.240e-05	2.009e-08
AC011997.1	9.602e-04	4.091e-08	2.848e-04	6.394e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC012067.1	1.299e-04	3.671e-09	0.000e+00	0.000e+00	2.022e-04	9.393e-10	0.000e+00	0.000e+00
AC012123.1	0.000e+00	8.575e-08	7.285e-04	6.790e-09	0.000e+00	0.000e+00	1.442e-04	1.011e-08
AC012215.1	3.473e-03	6.606e-08	4.732e-05	6.788e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
