gene	missenseVusDriversPerSample	missensePassengersPerMutation
ADAM8	0.004403386613313477	1.667974584107684E-7
ADAM9	0.004913353024854027	1.940502268718995E-7
ADAMTS10	0.0028700872264656513	8.151021063957471E-7
ADAMTS12	0.009194420574358594	1.4919810875875306E-6
ADAMTS15	0.0	4.2062882004424E-7
ADAMTS17	0.0	5.938289224153977E-7
ADAMTS18	0.0024629035158476296	1.1792542749608403E-6
ADAMTS19	0.00988302087494016	7.567883761936272E-7
ADAMTS2	0.0	8.288862042048259E-7
ADAMTS3	0.0	7.670290247865553E-7
ADAMTS5	0.008975288293132596	7.097626879621726E-7
ADAMTS6	0.006509927752871067	6.193018895089785E-7
ADAMTS7	1.4287865533171712E-4	7.979142602660252E-7
ADAMTS8	0.0021388039639279343	3.8924069125989303E-7
ADAMTS9	0.007280102896695064	8.82639071140304E-7
ADAMTSL1	0.004850970599369588	9.019417551044521E-7
ADAMTSL2	0.0	3.464002047423153E-7
ADAMTSL3	0.0025492990218522853	1.0146590287771172E-6
ADAMTSL5	0.0	1.7320010237115765E-7
ADAP1	0.0019750965086898875	1.984348612338327E-7
ADARB1	0.0030153249461692105	3.01541315006433E-7
ADARB2	0.002550233089452366	6.682181015456347E-7
ADAT1	0.0	1.6082866648750354E-7
ADAT2	5.947591372347575E-4	4.8298936849333946E-8
ADAT3	0.0	1.360857947201953E-7
ADCK1	0.0	1.6082866648750354E-7
ADCY1	0.0	8.288862042048259E-7
ADCY10	4.6780226963688944E-4	8.950915078839216E-7
ADCY3	0.0	4.0825738416058587E-7
ADCY4	0.0	4.824859994625106E-7
ADCY5	0.0	7.299147171355929E-7
ADCY7	1.179292610069662E-4	5.02087516307086E-7
ADGB	0.0053843086334381006	1.113747130594079E-6
ADH1B	0.0018945335610925616	2.638043386490772E-7
ADH5	5.919582076321913E-4	6.07924846929666E-8
ADHFE1	3.214651278119418E-4	2.457852576500687E-7
ADK	0.001836032556046744	1.1789757285530889E-7
ADM	4.994489919747557E-5	4.73082987583012E-8
ADM2	5.132324338938637E-4	5.1853251647686885E-8
ADNP2	0.0030410514429557826	3.6227689788650003E-7
ADORA2A	5.55388535665442E-4	1.6135829755872824E-7
ADORA3	0.005024646352773962	1.6445530655885603E-7
ADPRHL2	0.0	1.1134292295288707E-7
ADPRM	0.0	6.185717941827058E-8
ADRA2A	0.0012605639176436422	2.1721485988864897E-7
ADRA2B	0.0	2.3505728178942825E-7
ADRA2C	0.0	6.185717941827058E-8
ADRB1	0.0	1.360857947201953E-7
ADRB2	0.002860957844501662	9.795683826202237E-8
ADRB3	0.0	1.2371435883654117E-7
ADRBK1	0.0	2.9691446120769884E-7
ADRBK2	0.0026789276515109925	1.1826423355750824E-7
ADSL	0.001370725524171861	1.8766927916527796E-7
ADSSL1	5.686222049748426E-4	1.73152785954806E-7
AEBP2	0.0	8.660005118557883E-8
AES	0.0016839819229199679	3.792646400733044E-8
AF131215.5	0.0	0.0
AF165138.7	0.0012801268867917348	1.1739048722618844E-7
AF196779.12	0.0	6.185717941827058E-8
AFAP1L1	3.7281128677700166E-5	2.7054624630828356E-7
AFF2	0.0013504075501137652	8.566126183796299E-7
AFF3	0.004722196755047101	9.075559006759024E-7
AFF4	0.0	2.721715894403906E-7
AFG3L2	0.0036714091118125983	1.492236941299603E-7
AFM	0.0017599810687139918	4.428705179645792E-7
AFMID	0.0013785309969770406	1.0072893324971861E-7
AFP	0.002286266052470044	3.5806892365817725E-7
AGA	0.0020686714834330417	1.077552274838223E-7
AGAP1	0.0012866911979348336	3.27418713368907E-7
AGAP5	0.0	1.9794297413846588E-7
AGAP6	2.0778227982899694E-4	2.1362717430778647E-7
AGAP8	0.0	1.2371435883654117E-8
AGAP9	0.0	1.2371435883654117E-8
AGBL2	9.965394199547748E-4	4.266684942256431E-7
AGBL3	9.776221492181984E-4	4.893504087622015E-7
AGBL4	0.0	3.8351451239327764E-7
AGBL5	0.0	3.587716406259694E-7
AGER	1.7426970871307714E-4	1.2848816867620372E-7
AGFG1	0.0	1.7320010237115765E-7
AGFG2	4.954586060933422E-4	1.6397105910572335E-7
AGGF1	0.0	2.598001535567365E-7
AGMAT	0.0	8.660005118557883E-8
AGMO	0.003757940497146567	3.433941646492319E-7
AGO1	0.0	3.587716406259694E-7
AGPAT3	0.0	1.2371435883654117E-7
AGPAT4	0.0	1.8557153825481176E-7
AGPS	0.0	2.3505728178942825E-7
AGT	8.740360001495464E-4	2.2169485845318128E-7
AGTPBP1	4.146084382760015E-4	4.5203890434945626E-7
AGTR2	0.001090047997291147	1.6279165282823827E-7
AGXT	0.0026842205892547467	1.551477853189466E-7
AGXT2	0.00622449080794019	3.719459133295896E-7
AHCTF1	4.907558682031043E-4	9.435765447578232E-7
AHCYL1	0.0	1.2371435883654117E-7
AHDC1	0.0	6.062003582990518E-7
AHI1	0.0	5.072288712298188E-7
AHNAK	0.0	2.3753156896615907E-6
AHR	7.699304758254495E-4	4.860336943131654E-7
AHRR	0.002581464593245871	2.4622768350271317E-7
AHSA1	0.0	1.360857947201953E-7
AIF1	0.0	2.4742871767308235E-8
AIFM1	5.51714853197784E-4	1.862613306403564E-7
AIM1	0.0	6.433146659500141E-7
AIM1L	0.0026900466155559033	3.1572245488704555E-7
AIMP1	0.0	8.660005118557883E-8
AIMP2	2.6706723997447634E-4	9.969960850133336E-8
AIP	0.0	8.660005118557883E-8
AIPL1	0.0	1.2371435883654117E-7
AIRE	0.0028839289589880786	2.0829829091367162E-7
AJAP1	0.0	4.3300025592789415E-7
AJUBA	0.0018255951050136308	1.4309548554962428E-7
AK3	0.0	1.2371435883654117E-8
AK4	0.0	6.185717941827058E-8
AK5	5.238862687692082E-5	4.0597340033512157E-7
AK7	0.0024842281163280633	2.8758120400892303E-7
AK8	0.0	2.598001535567365E-7
AK9	0.006913852481624237	7.006634943924325E-7
AKAP10	0.0	2.3505728178942825E-7
AKAP12	0.0	6.680575377173224E-7
