gene	missenseDriverLikelihood	missenseExpDriversPerSample	missenseExpPassengersPerLoad	nonsenseDriverLikelihood	nonsenseExpDriversPerSample	nonsenseExpPassengersPerLoad	spliceDriverLikelihood	spliceExpDriversPerSample	spliceExpPassengersPerLoad	indelDriverLikelihood	indelExpDriversPerSample	indelExpPassengersPerLoad
LCORL	0.061755381506083416	3.504845715441738E-4	2.0867361463392953E-7	0.20539652764910693	1.1657010649779054E-4	1.767265972090493E-8	0.20539652764910693	5.828505324889527E-5	8.836329860452465E-9	0.04103477365958239	2.3288747820421335E-5	1.4432237193621467E-7
LCP1	0.0	0.0	2.557698196172227E-7	0.0	0.0	3.336128081963774E-8	0.0	0.0	2.2240853879758492E-8	0.5627335377267775	7.98430104606665E-4	1.6451934666144684E-7
LCP2	0.41808173459655135	0.0052200897622724915	2.8473190043761374E-7	0.7463126834650087	8.471199585300893E-4	1.1284445076405566E-8	0.7040314640425102	0.0011986914824787347	1.974777888370974E-8	0.6488374517054422	0.0012888371628655207	1.8497244404215608E-7
LCT	0.0	0.0	1.2454878172664757E-6	0.0	0.0	7.784298857915473E-8	0.0	0.0	1.1120426939879246E-8	0.0	0.0	8.277391336475882E-7
LCTL	0.0	0.0	2.2240853879758495E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	1.504980242995615E-7
LDB1	0.0	0.0	1.1120426939879247E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.35634001164901646	3.033541529361661E-4	1.453043348512527E-7
LDB2	0.17312162880562537	0.0012772878402231157	2.390762533908683E-7	0.3447377229605374	9.782568755974387E-5	7.286796278276258E-9	0.3447377229605374	1.9565137511948775E-4	1.4573592556552517E-8	0.13317164777081003	7.557982279841659E-5	1.3045595441733748E-7
LDB3	0.12795005925482825	0.0014523275738345998	3.879027061593083E-7	0.5586015507740064	3.1702698681839185E-4	9.817078411987322E-9	0.5586015507740064	4.755404802275878E-4	1.4725617617980982E-8	0.0	0.0	1.504980242995615E-7
LDHA	0.0	0.0	1.3344512327855095E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LDHAL6A	0.0	0.0	8.896341551903397E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LDHAL6B	0.07067055044804431	3.2086515526921365E-4	1.653526439491315E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.42377018172538067	3.6075781645179963E-4	1.3008217378923836E-7
LDHB	0.0	0.0	1.5568597715830946E-7	0.2817938597654112	1.599284107635705E-4	1.5973517820502826E-8	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LDHC	0.4150667452896876	0.0012956112934695131	7.155178276082987E-8	0.764128626672604	4.336711842636799E-4	5.24598074859258E-9	0.764128626672604	2.1683559213183995E-4	2.62299037429629E-9	0.0	0.0	7.524901214978075E-8
LDHD	0.0	0.0	2.0016768491782644E-7	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.0	0.0	1.504980242995615E-7
LDLR	0.22395492081376758	0.002669156263955232	3.6245800941601865E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	1.1120426939879246E-8	0.0	0.0	2.2574703644934226E-7
LDLRAD1	0.0	0.0	8.896341551903397E-8	0.0	0.0	0.0	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0
LDLRAD2	0.0	0.0	1.223246963386717E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
