Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10,Sig11,Sig12,Sig13,Sig14,Sig15,Sig16,Sig17,Sig18,Sig19,Sig20,Sig21,Sig22,Sig23,Sig24,Sig25,Sig26,Sig27,Sig28,Sig29,Sig30
0.0015,2e-04,0.0115,0.0342,0.0105,8e-04,7e-04,0.0164,0.0051,3e-04,6e-04,0.0031,3e-04,2e-04,0.0027,0.013,0.0045,0.0055,0.0021,0.0011,0.0025,0.2132,2e-04,0.0069,0.0629,0.0024,0.0044,0.0088,0.0036,0.0083
0.0022,6e-04,0.0165,0.0115,0.0098,0.0011,0.0018,0.0262,0.0069,9e-04,4e-04,0.0054,0,0.002,7e-04,0.0096,0.0312,0.0033,0.0022,0.0024,0.001,0.0618,5e-04,0.0029,0.0366,0.0016,0.0054,0.0109,0.0022,0
7e-04,1e-04,0.0044,0.0069,0.0067,0,0,0.0081,0.003,0,3e-04,0.0015,1e-04,0,0,0.003,0,0.0019,0.0026,2e-04,0,0.0537,0,0.0022,0.0362,0.0022,0.1099,6e-04,0.0029,0.0037
6e-04,3e-04,0.0056,0.0052,0.004,0.0028,0,0.0079,0.0029,1e-04,3e-04,0.0039,3e-04,0.0025,0.0038,0.004,0.0026,0.0015,0,0.0038,0.0142,0.0095,2e-04,0.0049,0.0058,0.0052,0,0.0032,0,0.0033
0.0012,1e-04,0.0081,0.0133,0.0068,6e-04,6e-04,0.0091,0.0028,0,4e-04,0.0019,2e-04,0,0.0026,0.0051,0.0035,0.0015,0.0016,8e-04,0.0031,0.0503,0,2e-04,0.0382,0.0014,0.0016,0.0022,5e-04,0.005
0.0021,2e-04,0.0087,0.0045,0.0051,0.0021,0.001,0.0178,0.0036,4e-04,1e-04,0.0031,1e-04,9e-04,0.0043,0.0033,0.0039,0.0036,0.0052,0.0019,0.0041,0.0106,0,0,0.0202,0.0025,0,0.002,0,0.0064
0.0056,1e-04,0.0071,0.0045,0.0092,2e-04,0.001,0.0151,0.0215,0,3e-04,0.0057,4e-04,0,8e-04,0.0085,7e-04,0.0047,0.0039,9e-04,0.0027,0.0408,0,0,0.0218,6e-04,0.0528,2e-04,0.0012,0.0077
0.002,0,0.0091,0.0046,0.0068,8e-04,0.0015,0.0121,0.0027,8e-04,0,0.0132,8e-04,0.0016,0.0019,0.0087,0.0026,0.0026,0.0048,7e-04,0.0045,0.0256,0,0.008,0.0034,0.0051,0,0.0102,0.0017,0.0065
0.0011,1e-04,0.0066,0.0082,0.0071,0,0.001,0.0084,0.014,0,0,0.0037,2e-04,0,6e-04,0.0063,0,0.002,0.0052,1e-04,0,0.0698,2e-04,0.0112,0.0102,0,0,0.0033,0.0024,0.0036
0.004,3e-04,0.0147,0.0045,0.0102,7e-04,0.005,0.0277,0.0139,0.0028,8e-04,0.0094,2e-04,0.0012,3e-04,0.008,0.0039,0.0028,0.0085,0.0023,8e-04,0.0236,0,3e-04,0.0145,0.0012,0.0019,0.0165,0,0
