Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
1	13194994	13195527	+	1	13098707	13099240	-
1	13195533	13197763	+	1	13096477	13098707	-
1	13200500	13200527	+	1	13133047	13133074	+
1	13200527	13202638	+	1	13091603	13093714	-
1	13204796	13204967	+	1	13089273	13089444	-
1	13204967	13208490	+	1	13085749	13089272	-
1	13209831	13212252	+	1	13142380	13144801	+
1	13212252	13219912	+	1	13074327	13081987	-
1	13319912	13326213	+	1	13184565	13190866	+
1	13326228	13326231	+	1	13190873	13190876	+
1	13326282	13326286	+	1	13190925	13190929	+
1	13326286	13326382	+	1	13190951	13191047	+
1	13328527	13330042	+	1	13223026	13224541	+
1	13333844	13333859	+	1	13228268	13228283	+
1	13337397	13337401	+	1	13231821	13231825	+
1	13344644	13345054	+	1	13239063	13239473	+
1	13345521	13345546	+	1	13239889	13239914	+
1	13345546	13346592	+	1	13239924	13240970	+
1	13374571	13377137	+	1	13268950	13271516	+
1	13377137	13384860	+	1	13271527	13279250	+
1	13384861	13391786	+	1	13279250	13286175	+
1	13391833	13391834	+	1	13286234	13286235	+
1	13391894	13399779	+	1	13286296	13294181	+
1	13399779	13402806	+	1	13294184	13297211	+
1	13402807	13413320	+	1	13297211	13307724	+
1	13413320	13431360	+	1	13307725	13325765	+
1	13431360	13431854	+	1	13325770	13326264	+
1	13433149	13434250	+	1	13327543	13328644	+
1	13434255	13434431	+	1	13328644	13328820	+
1	13434432	13434807	+	1	13328820	13329195	+
1	13435658	13442216	+	1	13330092	13336650	+
1	13442222	13442226	+	1	13336686	13336690	+
1	13454596	13454654	+	1	13349074	13349132	+
1	13454792	13454799	+	1	13349244	13349251	+
1	13454820	13468809	+	1	13349251	13363240	+
1	13480624	13482267	+	1	13375002	13376645	+
1	13482771	13485033	+	1	13377145	13379407	+
1	13485034	13485600	+	1	13379407	13379973	+
1	13485603	13486712	+	1	13379973	13381082	+
1	13487263	13487688	+	1	13381636	13382061	+
1	13492822	13494632	+	1	13387195	13389005	+
1	13505916	13506580	+	1	13400290	13400954	+
1	13523525	13523527	+	1	13417908	13417910	+
1	13536268	13542398	+	1	13430653	13436783	+
1	13542399	13542895	+	1	13436783	13437279	+
1	13542895	13543374	+	1	13437284	13437763	+
1	13543374	13553150	+	1	13437766	13447542	+
1	13607162	13607613	+	1	12920566	12921017	-
1	13612571	13612618	+	1	13286187	13286234	+
1	13612628	13612689	+	1	13286235	13286296	+
1	13652651	13653930	+	1	13326264	13327543	+
1	13655601	13656498	+	1	13329195	13330092	+
1	13663059	13663067	+	1	13336650	13336658	+
1	13663067	13663077	+	1	13336676	13336686	+
1	13663079	13663858	+	1	13336690	13337469	+
1	13663858	13675451	+	1	13337481	13349074	+
1	13675517	13675629	+	1	13349132	13349244	+
1	13689698	13701460	+	1	13363240	13375002	+
1	13703104	13703604	+	1	13376645	13377145	+
1	13707544	13708095	+	1	13381085	13381636	+
1	13708521	13713201	+	1	13382061	13386741	+
1	13713202	13713656	+	1	13386741	13387195	+
1	13715465	13726746	+	1	13389005	13400286	+
1	13727410	13733537	+	1	13400954	13407081	+
1	13733538	13744365	+	1	13407081	13417908	+
1	13744385	13757128	+	1	13417910	13430653	+
1	13774009	13784944	+	1	13447542	13458477	+
1	13784945	13807866	+	1	13458477	13481398	+
1	13807868	13808234	+	1	13481398	13481764	+
1	13808234	13814486	+	1	13481780	13488032	+
